YR,M,D,HR,MIN,DM,RRP
2000,1,6,21,0,1322.83667,36.5
2000,1,6,21,30,1296.585,36.5
2000,1,6,22,0,1262.81167,28.7
2000,1,6,22,30,1242.09167,21.21
2000,1,6,23,0,1262.215,30.38
2000,1,6,23,30,1304.41,39.51
2000,1,7,0,0,1367.29667,39.51
2000,1,7,0,30,1372.60167,41.42
2000,1,7,1,0,1395.36,41.43
2000,1,7,1,30,1311.11667,30.24
2000,1,7,2,0,1213.19333,24.14
2000,1,7,2,30,1131.42333,13.37
2000,1,7,3,0,1087.14833,8.4
2000,1,7,3,30,1036.905,5.21
2000,1,7,4,0,1020.925,5.27
2000,1,7,4,30,1036.79833,13.43
2000,1,7,5,0,1052.09,13.1
2000,1,7,5,30,1082.82667,13.71
2000,1,7,6,0,1098.465,14.35
2000,1,7,6,30,1130.01667,14.65
2000,1,7,7,0,1203.46,15.88
2000,1,7,7,30,1266.31667,14.58
2000,1,7,8,0,1278.53833,14.85
2000,1,7,8,30,1305.96333,15.06
2000,1,7,9,0,1329.64333,15.61
2000,1,7,9,30,1337.565,14.99
2000,1,7,10,0,1345.32833,15.77
2000,1,7,10,30,1332.95833,15.62
2000,1,7,11,0,1361.185,16.49
2000,1,7,11,30,1383.75333,24.8
2000,1,7,12,0,1400.065,29
2000,1,7,12,30,1405.01333,35.14
2000,1,7,13,0,1433.39167,33.74
2000,1,7,13,30,1438.515,51.17
2000,1,7,14,0,1460.07833,51.17
2000,1,7,14,30,1426.90333,45.72
2000,1,7,15,0,1439.48,49.81
2000,1,7,15,30,1418.96333,54.16
2000,1,7,16,0,1408.67833,54.16
2000,1,7,16,30,1429.355,54.17
2000,1,7,17,0,1411.775,54.16
2000,1,7,17,30,1389.625,39.51
2000,1,7,18,0,1355.18167,39.51
2000,1,7,18,30,1323.26667,34.46
2000,1,7,19,0,1285.75167,24.9
2000,1,7,19,30,1243.56,20.37
2000,1,7,20,0,1232.06833,17.93
2000,1,7,20,30,1248.25667,21.95
2000,1,7,21,0,1265.97,24.9
2000,1,7,21,30,1260.51167,29.95
2000,1,7,22,0,1251.52,24.9
2000,1,7,22,30,1232.205,23.65
2000,1,7,23,0,1270.76833,32.64
2000,1,7,23,30,1290.95833,38.76
2000,1,8,0,0,1361.99667,39.51
2000,1,8,0,30,1370.71833,41.42
2000,1,8,1,0,1391.67,41.43
2000,1,8,1,30,1309.69667,30.62
2000,1,8,2,0,1218.39667,17.57
2000,1,8,2,30,1143.54,14.92
2000,1,8,3,0,1099.135,14.26
2000,1,8,3,30,1048.04333,10.69
2000,1,8,4,0,1029.65667,10.51
2000,1,8,4,30,1023.99,9.72
2000,1,8,5,0,1025.12333,9.71
2000,1,8,5,30,1029.48833,10.37
2000,1,8,6,0,1048.07333,13.28
2000,1,8,6,30,1066.42333,13.42
2000,1,8,7,0,1096.89167,13.6
2000,1,8,7,30,1149.59333,13.51
2000,1,8,8,0,1171.59667,13.73
2000,1,8,8,30,1211.81333,15.13
2000,1,8,9,0,1259.89333,16.62
2000,1,8,9,30,1288.19167,16.85
2000,1,8,10,0,1305.20333,17.22
2000,1,8,10,30,1329.07,16.61
2000,1,8,11,0,1332.665,16.33
2000,1,8,11,30,1350.05833,16.92
2000,1,8,12,0,1362.45333,16.42
2000,1,8,12,30,1374.755,16.32
2000,1,8,13,0,1385.16167,16.56
2000,1,8,13,30,1388.50667,26.07
2000,1,8,14,0,1410.27667,35.52
2000,1,8,14,30,1401.42667,27.9
2000,1,8,15,0,1415.765,30.98
2000,1,8,15,30,1428.82667,32.63
2000,1,8,16,0,1443.77333,33.36
2000,1,8,16,30,1450.81,42.14
2000,1,8,17,0,1452.02833,42.12
2000,1,8,17,30,1461.97667,42.12
2000,1,8,18,0,1439.13,42.12
2000,1,8,18,30,1410.07833,33.36
2000,1,8,19,0,1376.48667,33.36
2000,1,8,19,30,1340.47,24.33
2000,1,8,20,0,1334.60167,24.79
2000,1,8,20,30,1356.915,33.36
2000,1,8,21,0,1355.67667,33.36
2000,1,8,21,30,1340.89333,30.1
2000,1,8,22,0,1314.10667,26.4
2000,1,8,22,30,1298.14833,28.47
2000,1,8,23,0,1325.07333,30.71
2000,1,8,23,30,1349.785,34.94
2000,1,9,0,0,1400.46333,34.94
2000,1,9,0,30,1405.79333,34.94
2000,1,9,1,0,1427.58,32.28
2000,1,9,1,30,1327.46833,28.06
2000,1,9,2,0,1226.54833,15.72
2000,1,9,2,30,1157.77333,12.22
2000,1,9,3,0,1105.61167,9.71
2000,1,9,3,30,1075.035,9.72
2000,1,9,4,0,1054.645,9.65
2000,1,9,4,30,1046.62833,9.72
2000,1,9,5,0,1050.75667,9.77
2000,1,9,5,30,1051.32167,10.42
2000,1,9,6,0,1056.25167,10.04
2000,1,9,6,30,1056.03667,12.89
2000,1,9,7,0,1061.47,13.03
2000,1,9,7,30,1085.315,13.14
2000,1,9,8,0,1094.98667,13.23
2000,1,9,8,30,1125.72833,13.69
2000,1,9,9,0,1158.17,14.12
2000,1,9,9,30,1195.33167,14.67
2000,1,9,10,0,1214.66667,14.52
2000,1,9,10,30,1233.97833,15.18
2000,1,9,11,0,1250.265,15.3
2000,1,9,11,30,1278.16667,15.54
2000,1,9,12,0,1312.075,15.24
2000,1,9,12,30,1332.74333,22.15
2000,1,9,13,0,1381.28333,36.33
2000,1,9,13,30,1408.92,36.29
2000,1,9,14,0,1426.50333,36.55
2000,1,9,14,30,1429.85,34.94
2000,1,9,15,0,1465.59667,34.94
2000,1,9,15,30,1507.61333,33.39
2000,1,9,16,0,1521.915,33.44
2000,1,9,16,30,1543.075,42.25
2000,1,9,17,0,1553.3,42.23
2000,1,9,17,30,1578.79,42.38
2000,1,9,18,0,1577.99167,42.24
2000,1,9,18,30,1569.83,33.38
2000,1,9,19,0,1531.28667,33.38
2000,1,9,19,30,1513.65333,28.58
2000,1,9,20,0,1501.65333,28.58
2000,1,9,20,30,1497.87,33.38
2000,1,9,21,0,1511.565,27.09
2000,1,9,21,30,1454.13667,25.23
2000,1,9,22,0,1414.82167,23.45
2000,1,9,22,30,1354.21333,15.56
2000,1,9,23,0,1364.73,18.12
2000,1,9,23,30,1376.81667,16.62
2000,1,10,0,0,1428.055,25.44
2000,1,10,0,30,1428.98167,19.96
2000,1,10,1,0,1441.275,25.85
2000,1,10,1,30,1347.31167,16.43
2000,1,10,2,0,1274.42833,15.82
2000,1,10,2,30,1205.11,15.17
2000,1,10,3,0,1153.04167,14.13
2000,1,10,3,30,1126.2,14.23
2000,1,10,4,0,1111.28167,13.97
2000,1,10,4,30,1117.49667,12.78
2000,1,10,5,0,1128.80333,12.75
2000,1,10,5,30,1145.67667,13.74
2000,1,10,6,0,1178.64167,15.18
2000,1,10,6,30,1231.76167,17.63
2000,1,10,7,0,1335.28333,22.09
2000,1,10,7,30,1434.91333,32.85
2000,1,10,8,0,1496.405,34.04
2000,1,10,8,30,1594.89833,33.89
2000,1,10,9,0,1658.01833,34.01
2000,1,10,9,30,1699.72333,32.92
2000,1,10,10,0,1752.43,33.06
2000,1,10,10,30,1798.745,34.48
2000,1,10,11,0,1828.425,34.48
2000,1,10,11,30,1866.48167,41.44
2000,1,10,12,0,1887.895,35.15
2000,1,10,12,30,1931.375,41.42
2000,1,10,13,0,1983.03667,41.42
2000,1,10,13,30,2018.63,51.19
2000,1,10,14,0,2045.455,51.21
2000,1,10,14,30,2061.49167,51.19
2000,1,10,15,0,2097.72833,51.32
2000,1,10,15,30,2093.505,54.3
2000,1,10,16,0,2101.91833,54.3
2000,1,10,16,30,2117.71,54.3
2000,1,10,17,0,2104.55333,54.2
2000,1,10,17,30,2079.515,39.53
2000,1,10,18,0,2014.05667,39.53
2000,1,10,18,30,1951.04833,34.46
2000,1,10,19,0,1909.36667,34.54
2000,1,10,19,30,1815.44667,34.45
2000,1,10,20,0,1753.17333,34.46
2000,1,10,20,30,1705.705,36.5
2000,1,10,21,0,1692.93333,36.5
2000,1,10,21,30,1645.24,36.5
2000,1,10,22,0,1592.64,36.51
2000,1,10,22,30,1500.19833,34.09
2000,1,10,23,0,1496.45167,34.46
2000,1,10,23,30,1514.215,39.78
2000,1,11,0,0,1563.79333,39.51
2000,1,11,0,30,1539.77667,41.42
2000,1,11,1,0,1559.615,41.42
2000,1,11,1,30,1461.18667,31.18
2000,1,11,2,0,1361.74,27.51
2000,1,11,2,30,1294.20667,22.58
2000,1,11,3,0,1230.71333,17.08
2000,1,11,3,30,1208.38333,16.46
2000,1,11,4,0,1203.38667,19.13
2000,1,11,4,30,1207.95667,15.88
2000,1,11,5,0,1233.52667,22.28
2000,1,11,5,30,1260.495,26.96
2000,1,11,6,0,1324.085,31.93
2000,1,11,6,30,1370.28,32.55
2000,1,11,7,0,1465.24167,47.21
2000,1,11,7,30,1589.29667,36.5
2000,1,11,8,0,1666.625,42.28
2000,1,11,8,30,1778.06333,47.59
2000,1,11,9,0,1877.01333,52.61
2000,1,11,9,30,1914.38167,49.5
2000,1,11,10,0,1993.21,44.2
2000,1,11,10,30,2031.765,56.27
2000,1,11,11,0,2098.16,60.86
2000,1,11,11,30,2128.515,65.66
2000,1,11,12,0,2176.93333,72.44
2000,1,11,12,30,2196.54667,76.39
2000,1,11,13,0,2258.97667,78.06
2000,1,11,13,30,2292.57333,91.78
2000,1,11,14,0,2316.05833,78.17
2000,1,11,14,30,2327.135,78
2000,1,11,15,0,2340.56667,78
2000,1,11,15,30,2333.68833,78
2000,1,11,16,0,2341.75667,79.21
2000,1,11,16,30,2342.07,78.86
2000,1,11,17,0,2370.925,78.6
2000,1,11,17,30,2337.35333,72.52
2000,1,11,18,0,2283.00833,41.42
2000,1,11,18,30,2220.24167,34.46
2000,1,11,19,0,2184.40167,34.62
2000,1,11,19,30,2126.78167,34.61
2000,1,11,20,0,2100.76167,35.25
2000,1,11,20,30,2078.86,38.12
2000,1,11,21,0,2066,39.51
2000,1,11,21,30,2037.32833,118.54
2000,1,11,22,0,1973.02,97.46
2000,1,11,22,30,1874.40333,40.88
2000,1,11,23,0,1818.06667,39.37
2000,1,11,23,30,1782.59667,55.09
2000,1,12,0,0,1795.79333,45.02
2000,1,12,0,30,1767.20833,41.42
2000,1,12,1,0,1740.36,41.42
2000,1,12,1,30,1624.16833,38.3
2000,1,12,2,0,1518.93333,27.22
2000,1,12,2,30,1460.06333,46
2000,1,12,3,0,1408.74667,20.1
2000,1,12,3,30,1382.71667,16.94
2000,1,12,4,0,1362.15833,16.93
2000,1,12,4,30,1367.77,19.93
2000,1,12,5,0,1382.19667,22.6
2000,1,12,5,30,1420.965,33.06
2000,1,12,6,0,1463.23,32.52
2000,1,12,6,30,1517.89667,36.63
2000,1,12,7,0,1637.50667,45.67
2000,1,12,7,30,1754.86333,43.71
2000,1,12,8,0,1843.11167,41.42
2000,1,12,8,30,1964.875,44.83
2000,1,12,9,0,2062.97833,77
2000,1,12,9,30,2099.48167,77
2000,1,12,10,0,2166.79833,58.99
2000,1,12,10,30,2218.03833,54.12
2000,1,12,11,0,2253.69167,73.54
2000,1,12,11,30,2285.695,73.66
2000,1,12,12,0,2304.94667,65.57
2000,1,12,12,30,2338.10167,71.57
2000,1,12,13,0,2398.51667,77
2000,1,12,13,30,2407.34333,77
2000,1,12,14,0,2445.90667,77
2000,1,12,14,30,2439.84833,77.05
2000,1,12,15,0,2442.39833,77
2000,1,12,15,30,2441.685,77
2000,1,12,16,0,2459.96667,77.22
2000,1,12,16,30,2426.67167,77.02
2000,1,12,17,0,2403.15333,77
2000,1,12,17,30,2378.745,67.09
2000,1,12,18,0,2287.545,64.54
2000,1,12,18,30,2260.48333,77
2000,1,12,19,0,2200.45,57.43
2000,1,12,19,30,2158.07167,52.31
2000,1,12,20,0,2142.98,77
2000,1,12,20,30,2118.3,77
2000,1,12,21,0,2102.21,77
2000,1,12,21,30,2069.375,77
2000,1,12,22,0,1995.72833,64.16
2000,1,12,22,30,1888.91833,34.62
2000,1,12,23,0,1834.95,34.46
2000,1,12,23,30,1810.76667,42.66
2000,1,13,0,0,1833.85,39.66
2000,1,13,0,30,1802.01,41.42
2000,1,13,1,0,1777.84,41.42
2000,1,13,1,30,1655.715,33.17
2000,1,13,2,0,1545.55833,30.42
2000,1,13,2,30,1481.9,26.14
2000,1,13,3,0,1454.005,23.91
2000,1,13,3,30,1421.56333,23.91
2000,1,13,4,0,1405.85667,22.24
2000,1,13,4,30,1409.95667,24.9
2000,1,13,5,0,1419.60167,27.76
2000,1,13,5,30,1446.08333,33.73
2000,1,13,6,0,1489.39167,43.64
2000,1,13,6,30,1555.335,46.84
2000,1,13,7,0,1674.32667,42.25
2000,1,13,7,30,1769.62167,38.63
2000,1,13,8,0,1844.49,40.73
2000,1,13,8,30,1956.74,51.44
2000,1,13,9,0,2034.63167,66.47
2000,1,13,9,30,2076.15333,74.03
2000,1,13,10,0,2140.05,60.05
2000,1,13,10,30,2204.93167,73.96
2000,1,13,11,0,2230.16167,72.65
2000,1,13,11,30,2279.85167,76.83
