YR,M,D,HR,MIN,DM,RRP
2000,1,8,16,0,4771.72167,14.89
2000,1,8,16,30,4784.67333,14.55
2000,1,8,17,0,4832.265,14.85
2000,1,8,17,30,4787.08167,14.48
2000,1,8,18,0,4752.32,14.46
2000,1,8,18,30,4651.44,13.85
2000,1,8,19,0,4568.405,13.41
2000,1,8,19,30,4495.23833,13.33
2000,1,8,20,0,4494.04667,13.23
2000,1,8,20,30,4592.25333,13.46
2000,1,8,21,0,4587.45667,13.42
2000,1,8,21,30,4495.615,13.29
2000,1,8,22,0,4405.25333,13.5
2000,1,8,22,30,4366.81667,13.5
2000,1,8,23,0,4365.155,13.41
2000,1,8,23,30,4745.80167,14.22
2000,1,9,0,0,4713.7,13.87
2000,1,9,0,30,4544.38,13.54
2000,1,9,1,0,4396.08167,13.37
2000,1,9,1,30,4690.98,14.03
2000,1,9,2,0,4528.44167,13.54
2000,1,9,2,30,4298.95833,10.66
2000,1,9,3,0,4116.29167,8.39
2000,1,9,3,30,3966.12,8.33
2000,1,9,4,0,3851.55333,8.24
2000,1,9,4,30,3806.125,8.32
2000,1,9,5,0,3777.80667,8.45
2000,1,9,5,30,3758.39167,9.08
2000,1,9,6,0,3801.40833,8.96
2000,1,9,6,30,3915.30833,11.66
2000,1,9,7,0,4030.93167,12.25
2000,1,9,7,30,4034.32,12.3
2000,1,9,8,0,4104.41667,12.39
2000,1,9,8,30,4221.01667,12.64
2000,1,9,9,0,4293.91833,12.83
2000,1,9,9,30,4375.395,13.1
2000,1,9,10,0,4430.57,12.85
2000,1,9,10,30,4513.865,13.31
2000,1,9,11,0,4546.75,13.29
2000,1,9,11,30,4600.18333,13.39
2000,1,9,12,0,4611.49333,13.18
2000,1,9,12,30,4636.30833,13.32
2000,1,9,13,0,4681.89667,13.37
2000,1,9,13,30,4691.855,13.2
2000,1,9,14,0,4727.03667,13.25
2000,1,9,14,30,4771.08667,13.52
2000,1,9,15,0,4791.29333,13.39
2000,1,9,15,30,4834.07833,13.21
2000,1,9,16,0,4885.46833,12.18
2000,1,9,16,30,4896.69667,12.11
2000,1,9,17,0,4946.89333,12.43
2000,1,9,17,30,4953.22667,12.63
2000,1,9,18,0,4911.775,13.18
2000,1,9,18,30,4836.80833,13.4
2000,1,9,19,0,4753.465,13.21
2000,1,9,19,30,4688.41667,13.18
2000,1,9,20,0,4709.65667,13.84
2000,1,9,20,30,4779.19167,13.98
2000,1,9,21,0,4722.56167,12.88
2000,1,9,21,30,4619.66667,14.07
2000,1,9,22,0,4509.33167,13.2
2000,1,9,22,30,4437.46333,13.31
2000,1,9,23,0,4394.56667,12.86
2000,1,9,23,30,4769.07,14.15
2000,1,10,0,0,4719.99167,13.52
2000,1,10,0,30,4567.10333,13.19
2000,1,10,1,0,4447.73833,13.07
2000,1,10,1,30,4720.22833,14.42
2000,1,10,2,0,4565.605,13.95
2000,1,10,2,30,4340.33167,13.42
2000,1,10,3,0,4134.80167,12.81
2000,1,10,3,30,4037.66833,13.06
2000,1,10,4,0,3996.83333,12.93
2000,1,10,4,30,4023.51167,11.78
2000,1,10,5,0,4075.235,11.78
2000,1,10,5,30,4291.55167,12.66
2000,1,10,6,0,4499.97167,13.83
2000,1,10,6,30,4821.32667,15.69
2000,1,10,7,0,5142.49833,20.08
2000,1,10,7,30,5146.95167,28.66
2000,1,10,8,0,5253.51667,29.26
2000,1,10,8,30,5434.63833,30.9
2000,1,10,9,0,5493.36333,29.7
2000,1,10,9,30,5552.79167,28.85
2000,1,10,10,0,5572.43833,26.85
2000,1,10,10,30,5629.24167,25.98
2000,1,10,11,0,5689.65167,25.62
2000,1,10,11,30,5728.865,25.84
2000,1,10,12,0,5724.21833,24.06
2000,1,10,12,30,5735.55833,23.93
2000,1,10,13,0,5788.83333,25.55
2000,1,10,13,30,5826.79333,27.42
2000,1,10,14,0,5833.35333,32.12
2000,1,10,14,30,5837.975,40.11
2000,1,10,15,0,5894.86,45.61
2000,1,10,15,30,5969.09,47.99
2000,1,10,16,0,6043.61167,48.28
2000,1,10,16,30,6041.485,48.24
2000,1,10,17,0,5938.72,34.39
2000,1,10,17,30,5709.20833,23.8
2000,1,10,18,0,5541.31833,19.53
2000,1,10,18,30,5362.82,17.2
2000,1,10,19,0,5222.00167,16.89
2000,1,10,19,30,5172.45333,30.41
2000,1,10,20,0,5125.455,28.15
2000,1,10,20,30,5143.08333,29.03
2000,1,10,21,0,5101.99,23.65
2000,1,10,21,30,4865.515,26.21
2000,1,10,22,0,4799.75833,25.52
2000,1,10,22,30,4655.22,26.09
2000,1,10,23,0,4563.92333,23.21
2000,1,10,23,30,5013.41333,34.07
2000,1,11,0,0,4936.97167,30.79
2000,1,11,0,30,4761.45833,25.26
2000,1,11,1,0,4597.36333,17.99
2000,1,11,1,30,4867.705,28.04
2000,1,11,2,0,4707.32167,24.12
2000,1,11,2,30,4459.925,19.65
2000,1,11,3,0,4226.15667,15.06
